ITEM_NO,NUMBER_INT,ZZ_PP,ZZ_ZJXH,ZZ_DZ,ZZ_GCZX,ZZ_GCBH,ZZ_CZYQ,CATEGORY_ID,QUANTITY,UNIT,DELIV_DATE,ZZ_EXTWG,ZZ_EWBEZ
575,575,42071,194,32553,37167,35202,42265,193,42305,19723,26017,32529,32529
529,529,42071,194,32553,37167,529,3,193,42305,19723,26017,32529,32529
503,503,42071,194,32553,37167,35202,42265,193,42305,19723,26017,32529,32529
484,484,42071,194,32553,37167,343,42265,193,42305,19723,26017,32529,32529
462,462,42071,194,32553,37167,529,3,193,42305,19723,26017,32529,32529
439,439,42071,194,32553,37167,3,42265,193,42305,19723,26017,32529,32529
416,416,42071,194,32553,7,403,42265,193,42305,19723,26017,32529,32529
396,396,42071,194,32553,15,1318,42265,193,42305,19723,26017,32529,32529
379,379,42071,194,32553,4,1318,3,193,42305,19723,26017,32529,32529
368,368,3,194,32553,9,76,3,193,42305,19723,26017,32529,32529
355,355,42071,194,32553,133,71,3,193,42305,360,26017,32529,32529
339,339,3,194,32553,14,5,21,193,42305,19723,26017,32529,32529
2010,2010,42071,92,32553,37,3,21,172,42305,8960,26017,32529,32529
1724,1724,42071,20,32553,37167,529,21,172,42305,8960,26017,32529,32529
1529,1529,42071,215,32553,20,1318,42265,172,42305,8960,26017,32529,32529
1356,1356,42071,47,32553,38,529,21,172,42305,8960,26017,32529,32529
1184,1184,42071,4,32553,1,1318,3,172,42305,8960,26017,32529,32529
1077,1077,42071,109,32553,37167,403,21,172,42305,8960,26017,32529,32529
994,994,42071,1,32553,16,1,42265,172,42305,8960,26017,32529,32529
908,908,42071,471,32553,14,403,21,172,42305,8960,26017,32529,32529
843,843,42071,57,32553,1,410,21,172,42305,8960,26017,32529,32529
764,764,42071,1,32553,37167,104,21,214,42305,8960,26017,32529,32529
715,715,42071,3158,32553,133,35202,21,172,42305,8960,26017,32529,32529
