PROVINCE,ENTERPRISE_TYPE,ENTERPRISE_PROPERTIES,CURRENCY,STYPE,SSTATUS,OPREATE_TYPE,STATUS,APPROVE,ZZ_FYLX,QUALITY_AUTHENTICATION,SFTGZYJKAQRZ,SFTGHJRZ,CONTROLNUMBER,INSIDE,PAYMENTLEVEL
-1,433,51,552,468,468,484,552,176,123,386,92,112,275,296,53
-1,433,27,552,468,468,484,552,376,447,386,92,112,275,296,187
-1,137,220,552,468,468,484,552,376,123,184,478,112,48,296,187
-1,433,164,552,468,468,484,552,376,123,386,478,112,48,296,187
-1,433,164,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,137,220,552,102,99,484,552,376,123,184,478,112,275,296,187
-1,137,220,552,468,468,484,13,12,447,184,478,112,275,296,187
-1,433,23,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,137,220,552,468,468,484,552,376,123,184,478,112,275,296,187
-1,137,164,552,468,468,484,552,176,447,184,478,112,275,296,53
-1,433,164,552,468,468,484,552,376,447,386,92,112,275,296,187
-1,433,220,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,433,164,552,468,468,484,552,176,447,386,478,112,275,296,53
-1,433,220,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,433,164,552,102,1,484,552,376,447,386,478,112,275,296,187
-1,433,23,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,433,164,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,137,220,552,468,468,484,552,376,447,184,478,112,48,296,187
-1,433,23,552,102,99,73,552,376,447,184,478,112,275,296,187
-1,433,164,552,102,99,73,552,176,447,386,92,112,275,296,53
-1,433,220,552,468,468,484,552,176,447,386,92,112,275,296,187
-1,433,220,552,468,468,484,552,176,447,386,92,112,275,296,53
-1,433,164,552,468,468,484,552,176,447,386,92,112,48,296,187
-1,137,220,552,468,468,484,552,376,447,184,478,112,275,296,187
-1,433,27,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,433,220,552,468,468,484,552,176,447,386,478,112,275,296,187
-1,137,164,552,468,468,484,552,176,447,184,478,112,275,296,187
-1,433,164,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,433,164,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,433,164,552,102,99,73,552,176,447,386,478,112,48,296,187
-1,433,220,552,102,99,73,13,12,447,386,478,112,275,296,53
-1,433,23,552,102,99,12,552,376,447,386,478,112,48,296,187
