START_TIME,PS_TNDR_REQ,PS_TNDR_AMNT,PS_EMD_REQ,ZFYLX,CHANGE_BY,PROCESS_TYPE,STATUS,APPROVE,PROC_GROUP,ZZ_NOTICE,ZZ_DAPPROVE,ZZ_EC,ZZ_URL,ITEM_MODIFY,PURCHASE_MODIFY,STANDARD_MODIFY,ZZ_PBYZ,ZZ_ZBFYF_S,ZJ_LBMS,ZZ_PBRS,ZQUOT_VIS,ZZ_LB
10591,1,10857,1,8074,783,6895,10068,9258,302,23,4536,125,10723,16,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,2645,10068,9258,302,23,4536,125,10723,16,37,183,109,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,2645,10068,9258,302,23,4536,125,10723,10709,37,183,109,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,2645,10068,9258,302,37,4536,125,10723,10709,37,183,109,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,2645,10068,9258,302,31,4536,125,10723,10709,37,183,109,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,6895,10068,9258,151,23,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,6895,10068,9258,151,1,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,6895,10068,9258,151,10724,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,2783,646,6895,10068,9258,634,10724,4536,125,10723,10709,10819,183,279,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,746,634,31,4536,2,10723,10709,37,183,2944,4164,166,5841,4081,124
10591,1,10857,1,8074,783,2645,10068,9258,235,10724,4536,125,10723,16,37,183,109,4164,1679,3574,3360,124
10591,1,10857,1,8074,960,6895,10068,9258,761,10724,4536,125,10723,10709,37,183,2944,4164,1679,5841,4081,124
10591,1,10857,1,8074,50,2645,10068,9258,165,37,4536,125,10723,10709,37,183,145,4164,198,3574,3360,124
10591,1,10857,1,8074,50,2645,10068,9258,165,10724,4536,125,10723,10709,37,183,145,4164,198,3574,3360,124
10591,1,10857,1,2783,646,194,10068,9258,634,23,4536,125,10723,10709,37,183,279,4164,1679,5841,4081,124
10591,1,10857,1,2783,646,6895,10068,9258,419,37,6320,125,10723,10709,37,183,279,4164,554,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,350,31,4536,125,10723,10709,37,183,151,4164,89,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,350,23,4536,125,10723,16,37,183,151,4164,1679,5841,4081,124
10591,1,10857,1,8074,783,6895,10068,9258,151,10724,4536,125,10723,16,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,6895,10068,9258,151,31,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,593,10068,9258,151,31,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,593,10068,9258,151,37,4536,125,10723,16,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,50,2645,10068,9258,144,10724,4536,125,10723,10709,37,183,10,4164,198,3574,3360,124
10591,1,10857,1,8074,50,2645,10068,9258,144,37,4536,125,10723,10709,37,183,10,4164,198,3574,3360,124
10591,1,10857,1,8074,960,6895,10068,9258,761,23,4536,125,10723,10709,37,183,2944,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,761,37,4536,125,10723,10709,37,183,2944,4164,567,5841,4081,124
10591,1,10857,1,8074,1402,6895,10068,9258,458,23,4536,125,10723,10709,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,8074,1402,6895,10068,9258,458,10724,4536,125,10723,10709,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,8074,17,6895,10068,9258,175,31,4536,125,10723,10709,37,183,2,4164,16,3574,3360,124
10591,1,10857,1,8074,17,6895,10068,9258,175,10724,4536,125,10723,10709,10819,183,2,4164,16,3574,3360,124
10591,1,10857,1,8074,960,6895,10068,9258,634,31,4536,125,10723,10709,37,183,151,4164,567,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,634,10724,4536,125,10723,10709,37,183,151,4164,89,5841,4081,124
10591,1,10857,1,8074,783,2645,10068,746,235,10724,4536,125,10723,10709,37,183,109,4164,1679,3574,3360,124
10591,1,10857,1,8074,960,6895,10068,9258,350,31,4536,125,10723,16,37,183,2944,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,350,23,4536,2,10723,16,37,183,2944,4164,1,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,350,37,4536,125,10723,10709,37,183,2944,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,350,31,4536,125,10723,10709,37,183,2944,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,350,10724,4536,125,10723,10709,37,183,2944,4164,128,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,350,23,4536,125,10723,16,37,183,2944,4164,567,5841,4081,124
10591,1,10857,1,8074,7,6895,10068,9258,97,31,4536,125,10723,10709,37,183,2944,4164,554,3574,3360,124
10591,1,10857,1,8074,7,6895,10068,9258,97,10724,4536,125,10723,10709,37,183,2944,4164,554,3574,3360,124
10591,1,10857,1,8074,1402,2645,10068,9258,458,31,4536,125,10723,10709,37,183,8,4164,1679,3574,3360,124
10591,1,10857,1,8074,1402,2645,10068,9258,458,10724,4536,125,10723,10709,37,183,8,4164,1679,3574,3360,124
10591,1,10857,1,8074,1402,2645,10068,9258,458,31,4536,125,10723,10709,37,183,8,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,6895,10068,9258,568,37,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,6895,10068,9258,568,10724,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,17,6895,10068,9258,438,10724,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,1281,6895,10068,9258,261,10724,4536,125,10723,10709,37,183,2944,4164,166,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,261,10724,4536,3,10723,10709,37,183,2944,4164,14,5841,4081,124
10591,1,10857,1,2783,646,6895,10068,9258,634,31,4536,125,10723,10709,37,183,279,4164,1679,5841,4081,124
10591,1,10857,1,2783,646,6895,10068,9258,634,31,4536,125,10723,16,37,183,279,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,634,10724,4536,125,10723,10709,37,183,151,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,634,23,4536,125,10723,10709,37,183,151,4164,554,5841,4081,124
10591,1,10857,1,2783,646,6895,10068,9258,634,23,4536,125,10723,10709,10819,183,279,4164,1679,5841,4081,124
10591,1,10857,1,2783,646,6895,10068,9258,634,23,4536,125,10723,10709,37,183,279,4164,554,5841,4081,124
10591,1,10857,1,2783,646,6895,10068,9258,761,31,4536,125,10723,10709,37,183,279,4164,166,5841,4081,124
10591,1,10857,1,2783,646,6895,10068,9258,761,10724,4536,125,10723,10709,37,183,279,4164,1679,5841,4081,124
10591,1,10857,1,8074,783,194,10068,9258,302,23,4536,125,10723,10709,37,183,1213,4164,567,5841,4081,124
10591,1,10857,1,8074,7,2645,10068,9258,412,37,4536,125,10723,10709,37,183,2944,4164,554,3574,3360,124
10591,1,10857,1,8074,7,2645,10068,9258,412,23,4536,3,10723,10709,37,183,2944,4164,554,3574,3360,124
10591,1,10857,1,2783,646,6895,10068,9258,761,37,4536,3,10723,10709,37,183,279,4164,16,5841,4081,124
10591,1,10857,1,2783,646,6895,10068,9258,761,31,4536,125,10723,10709,37,183,279,4164,166,5841,4081,124
10591,1,10857,1,8074,783,194,10068,9258,235,23,4536,125,10723,10709,37,183,1213,4164,567,5841,4081,124
10591,1,10857,1,8074,783,194,10068,9258,235,37,4536,125,10723,10709,37,183,1213,4164,1679,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,218,23,4536,125,10723,10709,37,183,64,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,194,10068,9258,634,10724,4536,125,10723,10709,37,183,1213,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,194,10068,9258,159,37,4536,125,10723,10709,37,183,1213,4164,1679,5841,4081,124
10591,1,10857,1,8074,1402,6895,10068,9258,458,37,4536,125,10723,10709,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,8074,1402,6895,10068,9258,458,37,4536,125,10723,10709,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,2783,770,24,10068,9258,451,23,4536,125,10723,10709,37,183,4,4164,1679,5841,4081,124
10591,1,10857,1,2783,770,24,10068,9258,451,23,4536,125,10723,16,37,183,4,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,2645,10068,9258,419,10724,4536,125,10723,10709,37,183,2944,4164,567,3574,3360,124
10591,1,10857,1,8074,960,2645,10068,9258,419,10724,4536,125,10723,10709,37,183,2944,4164,567,3574,3360,124
10591,1,10857,1,8074,960,6895,10068,746,419,37,4536,125,10723,10709,37,183,151,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,761,31,4536,125,10723,10709,37,183,81,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,761,37,4536,125,10723,16,37,183,81,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,761,10724,4536,125,10723,10709,37,183,2944,4164,554,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,9258,761,37,4536,125,10723,10709,37,183,2944,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,2645,10068,746,761,37,4536,125,10723,10709,37,183,316,4164,567,3574,3360,124
10591,1,10857,1,8074,960,2645,10068,9258,761,23,4536,2,10723,10709,37,183,316,4164,567,5841,3360,124
10591,1,10857,1,8074,960,6895,10068,746,761,23,4536,125,10723,10709,10819,183,2944,4164,1679,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,746,761,10724,4536,125,10723,10709,37,183,2944,4164,567,5841,4081,124
10591,1,10857,1,8074,1402,6895,10068,9258,568,37,4536,1,10723,10709,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,6895,10068,9258,568,23,4536,125,10723,10709,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,8074,1402,6895,10068,9258,568,37,4536,125,10723,10709,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,6895,10068,9258,568,23,4536,125,10723,10709,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,8074,1402,6895,10068,9258,568,37,4536,125,10723,10709,10819,183,54,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,6895,10068,9258,568,31,4536,125,10723,16,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,2783,646,6895,10068,9258,761,10724,4536,125,10723,10709,37,183,279,4164,554,5841,4081,124
10591,1,10857,1,2783,646,6895,10068,9258,761,31,4536,125,10723,10709,37,183,279,4164,1679,5841,4081,124
10591,1,10857,1,8074,17,6895,10068,9258,175,37,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,847,6895,10068,9258,175,23,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,960,2645,10068,9258,761,31,4536,125,10723,10709,37,183,316,4164,567,3574,3360,124
10591,1,10857,1,8074,960,2645,10068,9258,761,37,4536,125,10723,10709,37,183,316,4164,567,3574,3360,124
10591,1,10857,1,8074,960,2645,10068,9258,761,37,4536,125,10723,10709,37,183,316,4164,567,3574,3360,124
10591,1,10857,1,8074,960,6895,10068,9258,761,10724,4536,125,10723,10709,37,183,2944,4164,567,5841,4081,124
10591,1,10857,1,8074,960,6895,10068,746,159,31,4536,125,10723,10709,37,183,151,4164,1679,5841,4081,124
10591,1,10857,1,8074,847,6895,10068,9258,438,31,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,17,6895,10068,9258,438,31,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,707,593,10068,9258,27,10724,4536,125,10723,16,37,183,5,4164,554,5841,4081,124
10591,1,10857,1,8074,707,593,10068,9258,27,31,4536,125,10723,16,37,183,5,4164,36,5841,4081,124
10591,1,10857,1,8074,707,593,10068,9258,27,10724,4536,125,10723,16,37,183,5,4164,1679,5841,4081,124
10591,1,10857,1,8074,1402,593,10068,9258,235,10724,4536,2,10723,10709,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,593,10068,9258,235,31,4536,125,10723,10709,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,8074,1402,6895,10068,9258,235,31,4536,125,10723,16,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,6895,10068,9258,235,37,4536,125,10723,10709,37,183,54,4164,1679,3574,3360,124
10591,1,10857,1,8074,1281,6895,10068,9258,261,23,4536,125,10723,10709,37,183,5,4164,166,5841,4081,124
10591,1,10857,1,8074,1281,6895,10068,9258,261,31,4536,125,10723,10709,37,183,5,4164,1679,5841,4081,124
10591,1,10857,1,8074,847,6895,10068,9258,175,23,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,17,6895,10068,9258,175,37,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,1333,2645,10068,9258,429,37,4536,10722,10723,10709,37,183,2,4164,1679,3574,3360,124
10591,1,10857,1,8074,1333,2645,10068,9258,429,37,4536,125,10723,10709,37,183,2,4164,1679,3574,3360,124
10591,1,10857,1,8074,707,6895,10068,9258,9,23,4536,125,10723,10709,37,183,145,4164,1679,5841,4081,124
10591,1,10857,1,8074,707,6895,10068,9258,9,23,4536,125,10723,10709,37,183,145,4164,198,5841,4081,124
10591,1,10857,1,8074,893,6895,10068,9258,412,23,4536,125,10723,10709,37,183,3,4164,198,5841,4081,124
10591,1,10857,1,8074,893,6895,10068,9258,412,10724,4536,125,10723,10709,37,183,3,4164,567,5841,4081,124
10591,1,10857,1,8074,17,6895,10068,9258,438,31,4536,125,10723,10709,37,183,147,4164,1679,3574,3360,124
10591,1,10857,1,8074,847,6895,10068,9258,438,10724,4536,2,10723,10709,10819,183,147,4164,1679,3574,3360,124
10591,1,10857,1,8074,847,6895,10068,9258,438,31,4536,125,10723,10709,37,183,147,4164,1679,3574,3360,124
10591,1,10857,1,8074,17,6895,10068,9258,438,37,4536,125,10723,10709,37,183,147,4164,1679,3574,3360,124
10591,1,10857,1,8074,17,2645,10068,9258,438,10724,4536,125,10723,10709,37,183,78,4164,1679,3574,3360,124
10591,1,10857,1,8074,847,2645,10068,9258,438,23,4536,125,10723,10709,37,183,78,4164,1679,3574,3360,124
